Sim_ID,daOverRH1,daOverRH2,P2/P1,P3/P2,predprob,predstable,Norbits_instability,Stable
4747,5.54189957589,8.64200483725,1.18432997729,1.29189175382,0.0616638362408,False,241909.903404,False
4568,8.77870732329,7.31060564145,1.2967061694,1.2453157881,0.795619666576,True,235747.047968,False
571,8.46594611155,7.47301670277,1.28570008312,1.25096679421,0.101910240948,False,2256794.45787,False
222,5.94098154557,6.22450566385,1.19800120494,1.20774553257,0.0745776519179,False,125796.771893,False
1188,8.63596636276,6.94017775021,1.29167922716,1.23245890071,0.965572953224,True,10000000.0,True
663,7.45812604206,6.76719895303,1.25044832644,1.22647036767,0.0614830590785,False,182770.706432,False
4073,6.46598175929,8.61299931507,1.21606545156,1.29087099938,0.401632010937,False,10000000.0,True
357,8.74371575417,5.25032353869,1.29547326089,1.17437466565,0.311801940203,False,1674088.13384,False
4783,5.06569331046,6.30226376393,1.1680853161,1.21042256431,0.119270578027,False,147420.960525,False
436,8.11472798591,5.91707096037,1.273378029,1.19718063543,0.0968234837055,False,2046921.93187,False
403,6.36783602944,8.13763127206,1.21268160082,1.27418035652,0.12275595963,False,9206341.57798,False
4406,5.48848127881,8.45637988284,1.18250401541,1.28536394021,0.0326698198915,False,153679.413929,False
826,7.55171991145,6.91147873863,1.25370829641,1.23146466712,0.236424610019,False,2515553.32496,False
3099,6.99629906957,5.43226307008,1.23440391104,1.18058336067,0.0162113495171,False,398045.42269,False
2691,7.96270684372,7.14308684419,1.26805683289,1.23949600285,0.151680827141,False,5790702.39025,False
3599,6.09233638401,6.90127884319,1.20319978518,1.23111137168,0.0461068302393,False,265164.212443,False
2389,7.91312240649,5.81354624118,1.26632283583,1.19363001043,0.0543347485363,False,101511.656912,False
4448,6.02321787488,8.19517214484,1.20082484292,1.27619681979,0.826906859875,True,1354574.11363,False
3959,7.58195398242,8.06204299156,1.2547619844,1.27153305532,0.538887739182,False,10000000.0,True
3643,7.85762800328,5.32907200175,1.26438310196,1.17706062113,0.0282755363733,False,6812.40940666,False
1742,8.36499534008,6.22560990897,1.28215430028,1.20778353536,0.718182384968,False,10000000.0,True
974,6.31755621774,7.40778675018,1.21094928048,1.24869612812,0.0871099978685,False,431088.229877,False
669,7.08122058197,7.57609412658,1.2373490002,1.25455773958,0.161185234785,False,974949.425434,False
